K,candidate_id,case_id,dbdt_p95,h_p95,ip_increment_nrmse,passed,peak_time_error_steps_max,receiver_id,receiver_index,total_p95,unexplained_sign_flips,waveform_id
4,K04_tw_span4.0_shift+0.0_dens1.00,PG01,0.007269992062752441,0.02255588417137621,0.03231392140068136,False,0.0,point,0,0.011509815027518713,0,W2
4,K04_tw_span4.0_shift+0.0_dens1.00,PG01,0.020615357514827785,0.013001080023324724,0.03565810468080983,False,0.0,point,1,0.008277589170563555,0,W2
4,K04_tw_span4.0_shift+0.0_dens1.25,PG01,0.019564123547239343,0.023648103876321505,0.01765322291531643,False,0.0,point,0,0.012412999612138494,0,W0
4,K04_tw_span4.0_shift+0.0_dens1.25,PG01,0.005392926332688875,0.010151845006560325,0.01683155341447623,True,0.0,point,1,0.00434897467452167,0,W0
4,K04_tw_span4.0_shift+0.0_dens1.25,PG01,0.01759095381279451,0.019886540729432654,0.01757988396461729,False,0.0,point,0,0.012771601301127405,0,W1
4,K04_tw_span4.0_shift+0.0_dens1.25,PG01,0.005062051736196881,0.01016172540379173,0.015029526023910769,True,0.0,point,1,0.004350656983490481,0,W1
4,K04_tw_span4.0_shift+0.0_dens1.25,PG01,0.022246340344500487,0.020980837034245393,0.019055553185395955,False,0.0,point,0,0.013506994435672737,0,W2
4,K04_tw_span4.0_shift+0.0_dens1.25,PG01,0.008227616585085255,0.010191374619483452,0.019426220215765042,True,0.0,point,1,0.004434581256762852,0,W2
4,K04_tw_span4.0_shift+0.5_dens1.00,PG01,0.02062349057275456,0.02480422299147101,0.027967014512508576,False,0.0,point,0,0.01096362065547663,0,W0
4,K04_tw_span4.0_shift+0.5_dens1.00,PG01,0.006554771948245102,0.00793840733914225,0.029169110760033687,True,0.0,point,1,0.006676411773870906,0,W0
4,K04_tw_span4.0_shift+0.5_dens1.00,PG01,0.0187910449631911,0.019112629799187278,0.038478981254019926,False,0.0,point,0,0.010815403096921262,0,W1
4,K04_tw_span4.0_shift+0.5_dens1.00,PG01,0.006474339081779736,0.007941572708028394,0.038558574345014925,False,0.0,point,1,0.0066681458931904655,0,W1
4,K04_tw_span4.0_shift+0.5_dens1.00,PG01,0.026010340428572747,0.01963885303521815,0.05097238711564237,False,0.0,point,0,0.011014614392663742,0,W2
4,K04_tw_span4.0_shift+0.5_dens1.00,PG01,0.01064050562754866,0.008042779998048746,0.05338797269053581,False,0.0,point,1,0.00675572650811855,0,W2
4,K04_tw_span4.0_shift+0.5_dens1.25,PG01,0.01341320569984046,0.010275001028184514,0.039752888892776964,False,0.0,point,0,0.009278155709279553,0,W0
4,K04_tw_span4.0_shift+0.5_dens1.25,PG01,0.005375311913599525,0.00547432776933045,0.040846406323021424,False,0.0,point,1,0.004876565022540637,0,W0
4,K04_tw_span4.0_shift+0.5_dens1.25,PG01,0.01471447715842922,0.01031319089196366,0.05225729914176635,False,0.0,point,0,0.009710173317461103,0,W1
4,K04_tw_span4.0_shift+0.5_dens1.25,PG01,0.005365736500617977,0.005475881449281654,0.05159588769163268,False,0.0,point,1,0.004835656578505875,0,W1
4,K04_tw_span4.0_shift+0.5_dens1.25,PG01,0.014569216665591172,0.010320409458673095,0.06257668256094126,False,0.0,point,0,0.009242165484192552,0,W2
4,K04_tw_span4.0_shift+0.5_dens1.25,PG01,0.009276612091504963,0.005480470735647357,0.06617974229209403,False,0.0,point,1,0.00443013945857994,0,W2
4,K04_tw_span6.0_shift-0.5_dens1.00,PG01,0.019884515001472806,0.0773246143654798,0.056512735497494256,False,0.0,point,0,0.02172076140983567,0,W0
4,K04_tw_span6.0_shift-0.5_dens1.00,PG01,0.013984709644709594,0.015818409533405034,0.05761154110105348,False,0.0,point,1,0.013614681937524626,0,W0
4,K04_tw_span6.0_shift-0.5_dens1.00,PG01,0.02618526002397631,0.05538624675764051,0.07264910474129131,False,0.0,point,0,0.021354597391855912,0,W1
