K,candidate_id,case_id,condition_number,dbdt_p95,group_p95_W0,group_p95_W1,group_p95_W2,group_p95_W3,group_p95_disk_1.0,group_p95_disk_4.0,group_p95_point,h_p95,ip_p95,n_tasks,qualifies,scope,spectral_error,spectral_error_s0,spectral_error_s1,split,total_p95,valid
4,K04_tw_span8.0_shift+0.0_dens1.25,TR01,9.057230836723841,0.22438172289223035,0.16897883768035724,0.16947456157308902,0.17097897033133247,nan,nan,nan,0.17153940884271712,0.3701884848012197,0.07904836527922061,6,False,point,0.03322595805535547,0.027834722767306294,0.03322595805535547,train,0.17153940884271712,True
4,K04_tw_span8.0_shift+0.5_dens1.00,TR01,7.244931014798517,0.48596018570087784,0.4349803588987343,0.43598013614962056,0.4387856214543537,nan,nan,nan,0.4401050756118696,1.1718957146071796,0.28197532153318644,6,False,point,0.12135287514270522,0.1091846223156924,0.12135287514270522,train,0.4401050756118696,True
4,K04_tw_span8.0_shift+0.5_dens1.25,TR01,6.8907652273912765,0.45415206798950225,0.36615929682557724,0.37622474853509563,0.38432972525515574,nan,nan,nan,0.3862413319337433,0.8793988888169514,0.20514116174739483,6,False,point,0.0856139429538168,0.0729854875384919,0.0856139429538168,train,0.3862413319337433,True
4,K04_cc_span4.0_shift-0.5_dens1.00,TR02,7.588545183594632,0.031810335882377944,0.0254588845852941,0.026197887842767564,0.025153016662634364,nan,nan,nan,0.02636029636166277,0.030651056991885833,0.04444413273623504,6,False,point,0.008985343806453664,0.009214537843471577,0.008985343806453664,train,0.02636029636166277,True
4,K04_cc_span4.0_shift-0.5_dens1.25,TR02,8.208960970346785,0.031697345329016996,0.011235194053035403,0.012032998150822472,0.013745010803994935,nan,nan,nan,0.013462549360216649,0.017028104872124798,0.031282713443524034,6,False,point,0.006305777490608642,0.008511070204069666,0.006305777490608642,train,0.013462549360216649,True
4,K04_cc_span4.0_shift+0.0_dens1.00,TR02,6.812836618484904,0.04283070495363685,0.02253294132817314,0.02256077881337971,0.022457989798869933,nan,nan,nan,0.022825132843679066,0.024717367651308192,0.046958094702382075,6,False,point,0.009273297651479872,0.008084997869388261,0.009273297651479872,train,0.022825132843679066,True
4,K04_cc_span4.0_shift+0.0_dens1.25,TR02,7.475382400203668,0.026341040307496604,0.0107346659253428,0.010667195511288348,0.01070094908964944,nan,nan,nan,0.010952957684996208,0.010269982495026194,0.02985604872805134,6,False,point,0.00783263208493498,0.007559081371293827,0.00783263208493498,train,0.010952957684996208,True
4,K04_cc_span4.0_shift+0.5_dens1.00,TR02,6.32947062458114,0.032498527432595736,0.0169121290141645,0.01809723503799191,0.019134449176595587,nan,nan,nan,0.01900502920840809,0.02164075473754416,0.03361312540015546,6,False,point,0.012130787105731107,0.00993508511448854,0.012130787105731107,train,0.01900502920840809,True
4,K04_cc_span4.0_shift+0.5_dens1.25,TR02,6.933027078671753,0.055876666026813626,0.02259440516459089,0.022502668315631597,0.02268771257684289,nan,nan,nan,0.02306022790740969,0.02172158182291009,0.054357933939289685,6,False,point,0.014040308336217801,0.01112062973629008,0.014040308336217801,train,0.02306022790740969,True
4,K04_cc_span6.0_shift-0.5_dens1.00,TR02,7.058894193707531,0.0749292792341773,0.051275045208405076,0.05115445571611616,0.04995628057375583,nan,nan,nan,0.051734129492034084,0.049981877157243296,0.1432390060315343,6,False,point,0.02695828518135761,0.021145582840900515,0.02695828518135761,train,0.051734129492034084,True
